stop_id,lat,lon,parcel_count,window_start_min,window_end_min
STOP-001,39.85353602897232,-75.2938287578011,11,268,440
STOP-002,39.86606830741101,-75.01593556814186,1,90,262
STOP-003,39.80647992798931,-75.13427441109431,10,283,435
STOP-004,40.02165021241294,-75.15110234141206,7,290,452
STOP-005,40.0661565319203,-75.21333635806508,6,244,400
STOP-006,39.889739203581165,-75.08495310874368,9,243,411
STOP-007,39.956377275583606,-75.01682519010738,11,111,281
STOP-008,39.90213766787637,-75.13370977930761,6,258,395
STOP-009,39.78320711114308,-75.0981059174056,1,48,211
STOP-010,39.969301887199826,-75.27150771579974,8,226,398
STOP-011,40.09201561631128,-75.22793058634497,3,331,447
STOP-012,40.049689670036145,-75.18798550360664,3,349,443
STOP-013,40.120806991955774,-75.17189260207196,3,107,212
STOP-014,40.002151516979886,-75.344394542108,3,119,211
STOP-015,39.95073408230864,-75.2500579496799,11,222,351
STOP-016,39.898021336614924,-75.3682730557559,4,143,234
STOP-017,39.947653663398434,-74.93782314518876,2,263,376
STOP-018,39.78757729478148,-75.1062767101831,2,73,185
STOP-019,39.858247661497096,-75.29228480188578,5,60,213
STOP-020,39.947841840113476,-75.0761688622805,4,18,130
STOP-021,40.02969867224777,-75.1430003550235,4,169,344
STOP-022,40.099121791147404,-75.04467444234143,11,76,182
STOP-023,39.86569568138402,-75.29741081557371,10,107,284
STOP-024,39.973449819738484,-75.06953566869736,7,329,470
STOP-025,39.990225018167884,-74.95068896454514,11,293,404
STOP-026,39.93913204596089,-75.35181017740955,4,302,395
STOP-027,39.98123150972833,-75.33785219266701,2,213,330
STOP-028,39.897693272739055,-75.04066449721202,3,40,183
STOP-029,39.86886900737126,-75.26841764241568,1,268,367
STOP-030,39.94479652618726,-75.27926384232356,11,217,321
STOP-031,39.95328978025363,-75.21084055974104,3,327,427
STOP-032,40.12107126903683,-75.16178001356123,5,172,323
STOP-033,39.96171411694844,-75.0056047234221,3,62,159
STOP-034,40.077176176212326,-75.10389074336221,11,214,305
STOP-035,39.85713508912188,-75.212512535624,2,164,295
STOP-036,40.10116865047959,-75.10325826034432,6,237,354
STOP-037,39.97348523543233,-75.19054785173941,11,135,276
STOP-038,39.955176289021715,-75.02248293792779,6,110,284
STOP-039,39.92512495234789,-75.14555015298262,10,45,212
STOP-040,40.00466900327869,-75.11886228441949,10,346,484
STOP-041,40.128537473081515,-75.19059523938527,9,271,418
STOP-042,39.85288910570285,-75.02658570417236,9,167,330
STOP-043,39.9453584650618,-75.31803652868847,7,84,213
STOP-044,39.84585872186132,-75.0681301304545,7,226,375
STOP-045,39.82321836267,-75.30484814131248,10,148,257
STOP-046,39.847136083963264,-75.17229519288168,5,228,372
STOP-047,40.02779599526265,-75.01431602700329,11,32,143
STOP-048,39.91455157227196,-75.35225410320473,10,66,173
STOP-049,39.94736166984,-75.30453650993496,5,264,422
STOP-050,39.858812487194314,-75.04875966397726,5,22,163
STOP-051,40.07312492009791,-75.2969289355556,8,243,366
STOP-052,39.85330829222666,-75.34719334453177,11,148,241
STOP-053,39.978047895968324,-75.08048205705518,2,1,112
STOP-054,40.065432413634696,-75.3372309934796,1,275,437
STOP-055,39.964213401934614,-75.17265934380447,3,251,383
STOP-056,40.07907846959385,-75.04605538761933,5,293,469
STOP-057,39.80442175919916,-75.07991090191761,2,322,493
STOP-058,39.99833677673708,-75.22807623768183,6,262,428
STOP-059,39.937089698811285,-75.01509694889579,6,302,393
STOP-060,39.865522031640886,-75.34359737976942,11,40,134
